x,variable,value,p,d,ynorm
6.5,zd,50240.57256025012,gd,quannianri,0.015059066753827616
7.5,zd,54499.130344416764,gd,quannianri,0.016335523264546938
8.5,zd,56143.91970400571,gd,quannianri,0.016828531036947054
9.5,zd,74724.49663382949,gd,quannianri,0.02239785746083072
10.5,zd,58049.02719016873,gd,quannianri,0.01739956634457498
11.5,zd,63049.96871459216,gd,quannianri,0.018898544330105845
12.5,zd,68148.88608249433,gd,quannianri,0.02042688951214784
13.5,zd,68392.56416985176,gd,quannianri,0.020499929376085697
14.5,zd,74594.88032170883,gd,quannianri,0.022359006376992667
15.5,zd,69604.33216730706,gd,quannianri,0.0208631436914072
16.5,zd,62024.1752157691,gd,quannianri,0.018591073853811136
17.5,zd,58032.59882518821,gd,quannianri,0.017394642120341645
18.5,zd,58139.737951984134,gd,quannianri,0.01742675591164909
19.5,zd,56020.76045120069,gd,quannianri,0.0167916153866105
20.5,zd,54922.58726218094,gd,quannianri,0.01646244988315451
21.5,zd,52075.462007758826,gd,quannianri,0.01560905496590045
22.5,zd,49951.69721320353,gd,quannianri,0.014972479501473101
23.5,zd,51162.73960023384,gd,quannianri,0.015335476322939131
0.5,zg,13781.428986694647,gs,quannianri,0.023876345153931437
1.5,zg,13292.26027805286,gs,quannianri,0.02302885967638696
2.5,zg,13119.71123825284,gs,quannianri,0.02272991822160587
3.5,zg,12301.270476209047,gs,quannianri,0.021311968447205076
4.5,zg,12386.150148847613,gs,quannianri,0.021459022599748162
5.5,zg,12259.388005322513,gs,quannianri,0.021239407007331765
6.5,zg,12108.571291610753,gs,quannianri,0.020978116838145374
7.5,zg,12315.519525288366,gs,quannianri,0.021336654944828913
8.5,zg,12512.739304743527,gs,quannianri,0.02167833849085305
9.5,zg,12337.391998343644,gs,quannianri,0.021374549035241604
10.5,zg,13188.444992173625,gs,quannianri,0.022848999547201532
11.5,zg,13581.450877023586,gs,quannianri,0.023529882796918474
12.5,zg,13385.359363238873,gs,quannianri,0.02319015397275946
13.5,zg,13067.788112602952,gs,quannianri,0.02263996133319578
14.5,zg,13140.833686761433,gs,quannianri,0.02276651289343375
15.5,zg,12946.0601834371,gs,quannianri,0.022429067524255997
16.5,zg,12314.379521129957,gs,quannianri,0.021334679886016842
17.5,zg,12358.437257353622,gs,quannianri,0.02141100997615428
18.5,zg,12968.365590346986,gs,quannianri,0.022467711673182317
19.5,zg,14092.339459469818,gs,quannianri,0.02441499798645838
20.5,zg,14609.262831231574,gs,quannianri,0.025310568456997654
21.5,zg,14371.165871541029,gs,quannianri,0.024898065138570975
22.5,zg,15020.576199794103,gs,quannianri,0.026023169448063713
23.5,zg,14169.677781962298,gs,quannianri,0.02454898673923861
0.5,zd,11359.66247954205,gs,quannianri,0.019680631265129932
1.5,zd,10885.713591311856,gs,quannianri,0.018859514147911434
2.5,zd,11029.475737623641,gs,quannianri,0.01910858226912906
3.5,zd,10260.53515700291,gs,quannianri,0.01777639162884856
4.5,zd,10544.566814807815,gs,quannianri,0.01826847687653518
5.5,zd,10437.148127321721,gs,quannianri,0.018082373848984378
6.5,zd,10164.485139891693,gs,quannianri,0.017609984838754252
7.5,zd,10301.37725116793,gs,quannianri,0.017847150614584716
8.5,zd,10486.88979831166,gs,quannianri,0.018168551364119833
9.5,zd,10479.224268695349,gs,quannianri,0.018155270823249692
10.5,zd,11164.547560018473,gs,quannianri,0.019342594391905523
11.5,zd,11190.030131396925,gs,quannianri,0.019386742982754054
12.5,zd,10994.387123018512,gs,quannianri,0.019047791194843934
13.5,zd,10681.450169007692,gs,quannianri,0.0185056274807185
14.5,zd,10505.248657892855,gs,quannianri,0.0182003581142338
15.5,zd,10674.282091639669,gs,quannianri,0.01849320877657002
16.5,zd,10355.45495887115,gs,quannianri,0.01794084031944058
17.5,zd,10314.306539021505,gs,quannianri,0.01786955062402383
18.5,zd,10620.091084770915,gs,quannianri,0.018399322780750092
19.5,zd,11368.654914531624,gs,quannianri,0.019696210671430445
20.5,zd,11996.63997225306,gs,quannianri,0.020784195669513342
21.5,zd,12210.8029000157,gs,quannianri,0.021155233243873306
22.5,zd,12016.78615635309,gs,quannianri,0.020819098961876663
23.5,zd,11529.773774245123,gs,quannianri,0.019975349323092865
0.5,zg,20410.660614892255,gx,quannianri,0.028539869006504487
1.5,zg,18525.72435651657,gx,quannianri,0.025904195673109212
2.5,zg,19161.83617509459,gx,quannianri,0.026793659680092893
3.5,zg,16223.404419039596,gx,quannianri,0.022684902056580507
4.5,zg,17291.93223502835,gx,quannianri,0.024179005773922947
5.5,zg,16792.271028757405,gx,quannianri,0.02348033826660081
6.5,zg,16820.631612536898,gx,quannianri,0.023519994373832547
7.5,zg,16815.88532317379,gx,quannianri,0.02351335772060285
8.5,zg,16108.88870959225,gx,quannianri,0.0225247767471415
9.5,zg,19303.59902212836,gx,quannianri,0.02699188418446689
10.5,zg,18336.104324421012,gx,quannianri,0.02563905330564131
11.5,zg,16553.22664592896,gx,quannianri,0.023146086695748334
12.5,zg,18785.569940641064,gx,quannianri,0.02626753319915777
13.5,zg,17823.35315084629,gx,quannianri,0.02492208232646209
14.5,zg,19650.61732704078,gx,quannianri,0.02747711379814405
15.5,zg,18741.68313183585,gx,quannianri,0.026206167043595883
16.5,zg,17894.35192850928,gx,quannianri,0.02502135867289476
17.5,zg,17826.387260438623,gx,quannianri,0.024926324868727156
18.5,zg,18465.144517500303,gx,quannianri,0.025819487945976757
19.5,zg,17563.906385458205,gx,quannianri,0.024559302461662682
20.5,zg,19207.744588779817,gx,quannianri,0.026857852610326458
21.5,zg,19502.44929540102,gx,quannianri,0.02726993303639717
22.5,zg,22089.71780644189,gx,quannianri,0.03088766524913526
23.5,zg,20647.522278960045,gx,quannianri,0.028871068519969772
0.5,zd,10844.293151228612,gx,quannianri,0.015163385048810294
1.5,zd,10567.008152359822,gx,quannianri,0.014775662294779984
2.5,zd,10674.008724459845,gx,quannianri,0.014925279319381705
3.5,zd,8469.33213331515,gx,quannianri,0.01184251868266487
4.5,zd,10149.977127669867,gx,quannianri,0.014192535122129061
5.5,zd,9936.491044855497,gx,quannianri,0.01389402127423389
6.5,zd,9862.22487255359,gx,quannianri,0.013790176187144234
7.5,zd,10513.912020650836,gx,quannianri,0.014701418904410691
8.5,zd,9971.526671000864,gx,quannianri,0.013943010976214436
9.5,zd,13974.47097674509,gx,quannianri,0.019540257840576957
10.5,zd,12304.605861933434,gx,quannianri,0.017205314717742233
11.5,zd,11488.699370757426,gx,quannianri,0.01606444697127008
12.5,zd,12307.703072625638,gx,quannianri,0.017209645493169293
13.5,zd,12442.062247910175,gx,quannianri,0.01739751757309819
14.5,zd,13353.304021824482,gx,quannianri,0.01867169097451146
15.5,zd,13555.299691521237,gx,quannianri,0.018954137979133166
16.5,zd,11642.777276516059,gx,quannianri,0.016279891406416856
17.5,zd,12556.797520211489,gx,quannianri,0.017557949893427693
18.5,zd,11785.839977407612,gx,quannianri,0.01647993347365806
19.5,zd,10551.97358325222,gx,quannianri,0.01475463972030304
20.5,zd,11758.935756147386,gx,quannianri,0.0164423137726118
21.5,zd,11690.223495427263,gx,quannianri,0.016346234622745273
22.5,zd,12262.62313713214,gx,quannianri,0.01714661100947074
23.5,zd,11956.377802414581,gx,quannianri,0.016718393525401894
0.5,zg,20845.336598918402,gz,quannianri,0.03215238629491037
1.5,zg,18674.802056256176,gz,quannianri,0.028804497679586046
2.5,zg,18589.021875249367,gz,quannianri,0.02867218810986092
3.5,zg,15793.435053004494,gz,quannianri,0.02436020269272729
4.5,zg,16579.15757575106,gz,quannianri,0.02557212143302098
5.5,zg,17135.483240467445,gz,quannianri,0.02643021252657819
6.5,zg,15803.470244476614,gz,quannianri,0.02437568123159491
7.5,zg,15796.39795924353,gz,quannianri,0.02436477275594028
8.5,zg,14660.12570692294,gz,quannianri,0.02261215704645372
9.5,zg,14827.769639704904,gz,quannianri,0.02287073538416612
10.5,zg,14523.636726161882,gz,quannianri,0.022401632912501582
11.5,zg,14118.066398215948,gz,quannianri,0.021776070749377395
12.5,zg,14571.721504424264,gz,quannianri,0.022475800118114248
13.5,zg,16642.468756948783,gz,quannianri,0.025669774236322888
14.5,zg,15665.21212754731,gz,quannianri,0.024162428336261546
15.5,zg,15900.1353052824,gz,quannianri,0.02452477992143856
16.5,zg,16004.057819427957,gz,quannianri,0.02468507269501362
17.5,zg,14547.104240050978,gz,quannianri,0.02243782981286646
18.5,zg,16852.07442297586,gz,quannianri,0.025993075436652472
19.5,zg,17878.10966803455,gz,quannianri,0.027575658735069047
20.5,zg,19044.914688239045,gz,quannianri,0.029375368975411348
21.5,zg,19998.158136059497,gz,quannianri,0.030845676323147136
22.5,zg,22946.458965102982,gz,quannianri,0.03539321177402248
23.5,zg,21742.83992737481,gz,quannianri,0.03353671864092755
0.5,zd,11962.922037203953,gz,quannianri,0.018451920348267977
1.5,zd,10736.137619343159,gz,quannianri,0.016559696333728266
2.5,zd,10429.385538060282,gz,quannianri,0.016086553990002014
3.5,zd,8484.70552802006,gz,quannianri,0.013087029247089125
4.5,zd,9632.372548699912,gz,quannianri,0.014857220541996886
5.5,zd,10079.313638157737,gz,quannianri,0.015546594037652585
6.5,zd,9351.30836780989,gz,quannianri,0.01442369988020496
7.5,zd,9449.144324306699,gz,quannianri,0.01457460458984542
8.5,zd,8617.066748537169,gz,quannianri,0.013291186616884377
9.5,zd,8977.355170005312,gz,quannianri,0.013846904796327365
10.5,zd,8758.414340021916,gz,quannianri,0.013509204797675404
11.5,zd,8449.500740289992,gz,quannianri,0.013032728471989805
12.5,zd,8347.073032991599,gz,quannianri,0.012874741327156134
13.5,zd,10621.112755959193,gz,quannianri,0.016382279009546873
14.5,zd,9648.311960678448,gz,quannianri,0.014881805903274965
15.5,zd,10079.982257057447,gz,quannianri,0.015547625332736046
16.5,zd,9705.738062037728,gz,quannianri,0.014970381407227732
17.5,zd,8934.96270627054,gz,quannianri,0.013781517563862908
18.5,zd,9779.286357104515,gz,quannianri,0.015083824199724644
19.5,zd,10264.132759281349,gz,quannianri,0.015831663830066515
20.5,zd,10999.795234976002,gz,quannianri,0.01696636865908002
21.5,zd,11433.08426382099,gz,quannianri,0.01763468486336206
22.5,zd,12313.161901775815,gz,quannianri,0.01899213937366745
23.5,zd,12135.151195671118,gz,quannianri,0.018717571056665317
0.5,zg,48617.16043023051,ha,quannianri,0.02655044352327453
1.5,zg,51398.74282192972,ha,quannianri,0.02806950069449967
2.5,zg,44564.33811121669,ha,quannianri,0.024337146219634932
3.5,zg,38403.22836452817,ha,quannianri,0.020972486603100964
4.5,zg,38070.29628031971,ha,quannianri,0.020790668199462434
5.5,zg,36038.65910305679,ha,quannianri,0.01968116555353737
6.5,zg,37253.827840575424,ha,quannianri,0.020344784503126944
7.5,zg,36797.16178097404,ha,quannianri,0.02009539341740439
8.5,zg,37594.239705375694,ha,quannianri,0.020530687709135912
9.5,zg,36593.64030127014,ha,quannianri,0.019984247774490788
10.5,zg,39798.61421333811,ha,quannianri,0.02173452438655341
11.5,zg,47025.51347788129,ha,quannianri,0.025681225079758382
12.5,zg,43023.50982456585,ha,quannianri,0.02349568048939148
13.5,zg,65066.1713725771,ha,quannianri,0.03553345553330827
14.5,zg,63603.09003995885,ha,quannianri,0.034734448393691705
15.5,zg,45226.79063829869,ha,quannianri,0.02469891988661785
16.5,zg,39963.90431961122,ha,quannianri,0.021824791395007308
17.5,zg,36816.1295750479,ha,quannianri,0.020105751968600354
18.5,zg,38117.78832289917,ha,quannianri,0.02081660420195934
19.5,zg,39642.18018472603,ha,quannianri,0.02164909379363049
20.5,zg,40809.406403255205,ha,quannianri,0.022286530729883024
21.5,zg,40904.017312347656,ha,quannianri,0.022338198938727714
22.5,zg,51532.46788078466,ha,quannianri,0.02814252963307517
23.5,zg,45511.959285937075,ha,quannianri,0.024854654076083664
0.5,zd,33116.715181431566,ha,quannianri,0.018085455183314954
